release_year,mean,std
1943,71.5,14.849242404917497
1944,76.0,
1945,63.0,
1954,118.0,2.8284271247461903
1955,100.33333333333333,9.451631252505216
1956,101.0,4.242640687119285
1958,98.66666666666667,22.501851775650227
1959,143.0,
1960,143.5,32.39855963876584
1962,167.0,16.3707055437449
1963,194.0,
1964,228.0,
1965,151.5,68.58935777509511
1966,116.0,
1967,105.25,17.211914478058503
1968,128.75,43.55360681581569
1969,140.0,16.97056274847714
1970,98.0,45.254833995939045
1971,142.8,29.27797807226449
1972,110.33333333333333,17.473789896108208
1973,123.1,52.07355908285466
1974,114.16666666666667,26.603884428155723
1975,109.33333333333333,17.200775176330474
1976,124.44444444444444,21.610825476547113
1977,133.5,38.80077318817242
1978,104.0,22.967368155711704
1979,122.5,48.67180338188061
1980,123.44444444444444,24.698740408728895
1981,128.75,45.43048064272016
1982,124.46666666666667,39.43868055360782
1983,113.88888888888889,31.501763619059666
1984,132.88888888888889,47.57479491402051
1985,117.125,39.16426031108319
1986,112.25,30.269031793473104
1987,110.16666666666667,31.990102636075843
1988,105.76923076923077,21.119319142094543
1989,110.75,35.213956427427
1990,118.8125,33.12042421225912
1991,101.3076923076923,25.639762789414334
1992,104.0,27.892651361962706
1993,121.76470588235294,31.763834410703442
1994,129.42857142857142,38.35404759647888
1995,115.47058823529412,28.63808139317914
1996,125.375,33.656846752679215
1997,116.96153846153847,24.96474437158253
1998,113.04,32.44800969756594
1999,121.88461538461539,33.28702680994735
2000,113.27586206896552,26.965449523052563
2001,123.4,37.3617912883719
2002,118.87179487179488,27.944662881054096
2003,119.17948717948718,29.314871199005896
2004,118.83333333333333,27.32805692023238
2005,115.35,27.07229805601841
2006,116.42857142857143,28.792396051620553
2007,113.06944444444444,23.40959619585968
2008,111.90425531914893,21.275999476888572
2009,109.91089108910892,21.436463798817655
2010,108.5748031496063,19.523091612542725
2011,108.78448275862068,20.43092542307319
2012,105.27397260273973,24.74212394304574
2013,106.35795454545455,21.50035864998354
2014,104.66519823788546,20.986147460840417
2015,103.61173184357541,21.83096705330554
2016,98.67720465890183,18.205007447761307
2017,99.51327433628319,19.605163931433854
2018,100.53550295857988,21.850947870922433
2019,100.41325536062378,21.929414012969914
2020,100.73529411764706,21.065159233710002
2021,95.77777777777777,11.366373407751675
